[(15, 0.140625, 2034.0)]
[(15, 359.546875, 2027.5), (15, 0.875, 2034.0)]
[(15, 359.203125, 2033.25), (15, 0.484375, 2029.0)]
[(15, 359.359375, 2033.5), (15, 0.71875, 2032.25)]
[(15, 359.5, 2014.75), (15, 0.78125, 2031.5)]
[(15, 359.609375, 2027.75), (15, 0.875, 2029.5)]
[(15, 359.21875, 2033.5), (15, 0.53125, 2029.5)]
[(15, 0.21875, 2030.75)]
[(15, 359.65625, 2029.5), (15, 0.9375, 2030.25)]
[(15, 359.515625, 2030.75), (15, 0.828125, 2031.5)]
[(15, 359.53125, 2031.0), (15, 0.875, 2033.25)]
[(15, 359.5625, 2030.75), (15, 0.890625, 2033.5)]
